type,variety,level_2,dist01,dist02,dist03,dist04,dist05,dist06,dist07,dist08,dist09,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17
Raisin,Fiesta ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.6666666666667,100.0,0.0,0.0,0.0
Raisin,Fiesta ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11652.5,2080.7,0.0,0.0,0.0
Raisin,Fiesta ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.2,350.0,0.0,0.0,0.0
Raisin,Other Raisin  b/ ,brixfactor,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Raisin,Other Raisin  b/ ,tons,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0
Raisin,Other Raisin  b/ ,wt_ave_base,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0
Raisin,Thompson Seedless ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,100.0,0.0,0.0,0.0
Raisin,Thompson Seedless ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19614.1,10630.0,0.0,0.0,0.0
Raisin,Thompson Seedless ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.01,193.11,0.0,0.0,0.0
Red Wine,Aglianico ,brixfactor,0.0,100.0,100.0,0.0,0.0,0.0,0.0,8588.888888888889,5700.0,100.0,100.0,10550.0,100.0,0.0,0.0,11700.0,100.0
Red Wine,Aglianico ,tons,0.0,0.5,6.1,0.0,0.0,0.0,0.0,28.0,8.1,6.7,72.4,5.6,0.8,0.0,0.0,18.7,4.8
Red Wine,Aglianico ,wt_ave_base,0.0,1100.0,3770.49,0.0,0.0,0.0,0.0,1848.02,1700.0,1880.89,932.56,1119.64,750.0,0.0,0.0,2495.15,1498.44
Red Wine,Aleatico ,brixfactor,0.0,0.0,575.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8950.0,0.0
Red Wine,Aleatico ,tons,0.0,0.0,16.7,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0
Red Wine,Aleatico ,wt_ave_base,0.0,0.0,2723.35,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.26,0.0
Red Wine,Alicante Bouschet * ,brixfactor,0.0,0.0,8682.6,0.0,0.0,14300.166666666666,0.0,100.0,100.0,11242.857142857143,24510.35714285714,100.0,17525.714285714286,0.0,8333.333333333334,100.0,0.0
Red Wine,Alicante Bouschet * ,tons,0.0,0.0,88.3,0.0,0.0,65.5,0.0,42.9,2.2,26.1,2199.2,6.7,451.8,0.0,5.0,18.8,0.0
Red Wine,Alicante Bouschet * ,wt_ave_base,0.0,0.0,3075.89,0.0,0.0,1113.21,0.0,1954.81,1400.0,1466.63,437.01,1084.33,286.19,0.0,1110.0,1114.89,0.0
Red Wine,Alvarinho ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
Red Wine,Alvarinho ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0
